,ActivePower,WindSpeed,Temperature
2019-01-14 21:00:00+00:00,255.5077,5.1813,22.3048
2019-01-14 22:00:00+00:00,182.0078,4.7271,21.8485
2019-01-14 23:00:00+00:00,73.6777,4.0108,21.3044
2019-01-15 00:00:00+00:00,-4.5241,3.0154,20.9973
2019-01-15 01:00:00+00:00,-4.4463,1.9092,20.9138
2019-01-15 02:00:00+00:00,-4.3918,1.7338,21.3846
2019-01-15 03:00:00+00:00,-5.1006,2.5433,22.1802
2019-01-15 04:00:00+00:00,-5.2671,2.6758,24.2826
2019-01-15 05:00:00+00:00,10.4225,3.0547,25.9288
2019-01-15 06:00:00+00:00,219.8869,4.5284,26.9905
2019-01-15 07:00:00+00:00,508.8535,5.7898,27.7943
2019-01-15 08:00:00+00:00,625.0761,6.1971,28.3487
2019-01-15 09:00:00+00:00,533.4355,6.0504,28.9553
2019-01-15 10:00:00+00:00,307.2000,4.9288,29.2368
2019-01-15 11:00:00+00:00,301.5503,4.9429,28.9430
2019-01-15 12:00:00+00:00,659.3970,6.4422,27.9713
2019-01-15 13:00:00+00:00,858.6217,7.2695,26.8473
2019-01-15 14:00:00+00:00,828.3452,7.1648,25.7941
2019-01-15 15:00:00+00:00,924.1000,7.6107,25.1341
2019-01-15 16:00:00+00:00,684.7385,6.9358,25.0017
2019-01-15 17:00:00+00:00,588.3191,6.5780,24.6362
2019-01-15 18:00:00+00:00,443.0601,6.0252,23.9835
2019-01-15 19:00:00+00:00,226.9439,5.0233,23.3858
2019-01-15 20:00:00+00:00,399.8276,5.8276,22.9550
2019-01-15 21:00:00+00:00,440.4425,6.1401,22.4238
2019-01-15 22:00:00+00:00,242.0606,5.0921,21.9259
2019-01-15 23:00:00+00:00,239.7004,5.0500,21.9823
2019-01-16 00:00:00+00:00,61.4826,3.6860,22.0424
2019-01-16 01:00:00+00:00,79.3749,3.8617,22.0511
2019-01-16 02:00:00+00:00,83.0207,3.6023,22.9207
2019-01-16 03:00:00+00:00,64.9994,3.2089,23.9736
2019-01-16 04:00:00+00:00,74.3449,3.1458,25.0266
2019-01-16 05:00:00+00:00,159.6725,4.1497,26.1785
2019-01-16 06:00:00+00:00,272.0196,4.7606,27.1076
2019-01-16 07:00:00+00:00,216.2593,4.6543,27.9590
2019-01-16 08:00:00+00:00,235.6176,4.7469,28.7660
2019-01-16 09:00:00+00:00,243.7402,4.7479,29.2303
2019-01-16 10:00:00+00:00,136.6496,4.0857,29.4396
2019-01-16 11:00:00+00:00,169.2274,4.2715,28.9087
2019-01-16 12:00:00+00:00,345.8408,5.3309,27.9249
2019-01-16 13:00:00+00:00,397.1108,6.0558,27.1017
2019-01-16 14:00:00+00:00,493.4498,6.2376,26.2529
2019-01-16 15:00:00+00:00,553.8214,6.5265,25.4701
2019-01-16 16:00:00+00:00,931.4006,7.5335,24.4726
2019-01-16 17:00:00+00:00,1221.3014,8.3522,24.0336
2019-01-16 18:00:00+00:00,938.8890,7.7727,23.9363
2019-01-16 19:00:00+00:00,444.6670,6.1132,23.6289
2019-01-16 20:00:00+00:00,90.8759,3.8281,23.1955
